"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1"
12,000;-0,759;-0,0211;2,1E-5
12,050;-0,718;-0,0200;
12,100;-0,680;-0,0189;2,1E-5
12,150;-0,646;-0,0180;
12,200;-0,611;-0,0170;2,2E-5
12,250;-0,581;-0,0162;
12,300;-0,554;-0,0154;2,2E-5
12,350;-0,536;-0,0149;
12,400;-0,518;-0,0144;2,2E-5
12,450;-0,500;-0,0139;
12,500;-0,479;-0,0133;2,3E-5
12,550;-0,460;-0,0128;
12,600;-0,443;-0,0123;2,3E-5
12,650;-0,427;-0,0119;
12,700;-0,410;-0,0114;2,3E-5
12,750;-0,390;-0,0109;
12,800;-0,368;-0,0102;2,3E-5
12,850;-0,346;-0,0096;
12,900;-0,325;-0,0091;2,4E-5
12,950;-0,303;-0,0084;
13,000;-0,280;-0,0078;2,4E-5
13,050;-0,254;-0,0071;
13,100;-0,229;-0,0064;2,4E-5
13,150;-0,203;-0,0056;
13,200;-0,181;-0,0050;2,5E-5
13,250;-0,163;-0,0046;
13,300;-0,149;-0,0042;2,5E-5
13,350;-0,137;-0,0038;
13,400;-0,127;-0,0035;2,5E-5
13,450;-0,119;-0,0033;
13,500;-0,110;-0,0031;2,5E-5
13,550;-0,099;-0,0028;
13,600;-0,088;-0,0025;2,5E-5
13,650;-0,080;-0,0022;
13,700;-0,071;-0,0020;2,5E-5
13,750;-0,061;-0,0017;
13,800;-0,050;-0,0014;2,5E-5
13,850;-0,038;-0,0011;
13,900;-0,025;-7,0000E-4;2,5E-5
13,950;-0,013;-3,5000E-4;
14,000;-0,002;-4,3750E-5;2,5E-5
14,050;0,006;1,7500E-4;
14,100;0,014;3,9375E-4;2,5E-5
14,150;0,024;6,5625E-4;
14,200;0,035;9,6250E-4;2,5E-5
14,250;0,046;0,0013;
14,300;0,053;0,0015;2,5E-5
14,350;0,063;0,0017;
14,400;0,071;0,0020;2,5E-5
14,450;0,079;0,0022;
14,500;0,088;0,0024;2,5E-5
14,550;0,096;0,0027;
14,600;0,104;0,0029;2,5E-5
14,650;0,113;0,0031;
14,700;0,126;0,0035;2,5E-5
14,750;0,140;0,0039;
14,800;0,157;0,0044;2,6E-5
14,850;0,176;0,0049;
14,900;0,196;0,0055;2,6E-5
14,950;0,218;0,0061;
15,000;0,242;0,0067;2,6E-5
15,050;0,264;0,0073;
15,100;0,286;0,0080;2,6E-5
15,150;0,308;0,0086;
15,200;0,330;0,0092;2,6E-5
15,250;0,350;0,0098;
15,300;0,369;0,0103;2,5E-5
15,350;0,386;0,0108;
15,400;0,402;0,0112;2,5E-5
15,450;0,418;0,0116;
15,500;0,430;0,0120;2,5E-5
15,550;0,441;0,0123;
15,600;0,451;0,0126;2,5E-5
15,650;0,463;0,0129;
15,700;0,479;0,0133;2,5E-5
15,750;0,496;0,0138;
15,800;0,517;0,0144;2,5E-5
15,850;0,537;0,0150;
15,900;0,556;0,0155;2,5E-5
15,950;0,575;0,0160;
16,000;0,594;0,0165;2,5E-5
16,050;0,613;0,0171;
16,100;0,628;0,0175;2,5E-5
16,150;0,644;0,0179;
16,200;0,658;0,0183;2,5E-5
16,250;0,672;0,0187;
16,300;0,686;0,0191;2,5E-5
16,350;0,697;0,0194;
16,400;0,708;0,0197;2,4E-5
16,450;0,723;0,0201;
16,500;0,740;0,0206;2,4E-5
16,550;0,756;0,0210;
16,600;0,767;0,0213;2,4E-5
16,650;0,779;0,0217;
16,700;0,790;0,0220;2,4E-5
16,750;0,804;0,0224;
16,800;0,820;0,0228;2,4E-5
16,850;0,834;0,0232;
16,900;0,848;0,0236;2,4E-5
16,950;0,858;0,0239;
17,000;0,864;0,0241;2,4E-5
17,050;0,866;0,0241;
17,100;0,869;0,0242;2,4E-5
17,150;0,875;0,0244;
17,200;0,878;0,0245;2,4E-5
17,250;0,878;0,0245;
17,300;0,880;0,0245;2,4E-5
17,350;0,880;0,0245;
17,400;0,880;0,0245;2,4E-5
17,450;0,886;0,0247;
17,500;0,895;0,0249;2,3E-5
17,550;0,909;0,0253;
17,600;0,933;0,0260;2,3E-5
17,650;0,964;0,0269;
17,700;0,996;0,0277;2,3E-5
17,750;1,024;0,0285;
17,800;1,046;0,0291;2,2E-5
17,850;1,065;0,0297;
17,900;1,084;0,0302;2,2E-5
17,950;1,106;0,0308;
18,000;1,133;0,0315;2,2E-5
18,050;1,156;0,0322;
18,100;1,177;0,0328;2,1E-5
18,150;1,189;0,0331;
18,200;1,200;0,0334;2,1E-5
18,250;1,216;0,0339;
18,300;1,232;0,0343;2,1E-5
