"Time (s) Run #1";"Angle (rad) Run #1";"Position (m) Run #1";"Magnetic Field Strength (100X) (T) Run #1";"Time (s) Run #3";"Angle (rad) Run #3";"Position (m) Run #3";"Magnetic Field Strength (100X) (T) Run #3";"Time (s) Run #4";"Angle (rad) Run #4";"Position (m) Run #4";"Magnetic Field Strength (100X) (T) Run #4";"Time (s) Run #5";"Angle (rad) Run #5";"Position (m) Run #5";"Magnetic Field Strength (100X) (T) Run #5";"Time (s) Run #6";"Angle (rad) Run #6";"Position (m) Run #6";"Magnetic Field Strength (100X) (T) Run #6";"Time (s) Run #7";"Angle (rad) Run #7";"Position (m) Run #7";"Magnetic Field Strength (100X) (T) Run #7";"Time (s) Run #8";"Angle (rad) Run #8";"Position (m) Run #8";"Magnetic Field Strength (100X) (T) Run #8"
3.650;-0.523;-0.0146;;7.300;-4.458;-0.1242;1.3E-5;7.300;-5.047;-0.1406;7.6E-6;7.300;-4.984;-0.1388;5.4E-6;7.300;-3.844;-0.1071;6.2E-6;7.300;-3.146;-0.0876;1.4E-5;7.300;-5.363;-0.1494;1.3E-6
3.700;-0.556;-0.0155;2.2E-5;7.400;-4.551;-0.1267;1.2E-5;7.400;-5.100;-0.1421;7.3E-6;7.400;-5.064;-0.1410;5.2E-6;7.400;-3.979;-0.1108;5.7E-6;7.400;-3.263;-0.0909;1.3E-5;7.400;-5.440;-0.1515;1.2E-6
3.750;-0.592;-0.0165;;7.500;-4.631;-0.1290;1.2E-5;7.500;-5.155;-0.1436;7.1E-6;7.500;-5.140;-0.1431;5.0E-6;7.500;-4.122;-0.1148;5.2E-6;7.500;-3.368;-0.0938;1.2E-5;7.500;-5.509;-0.1534;1.2E-6
3.800;-0.628;-0.0175;2.2E-5;7.600;-4.714;-0.1313;1.1E-5;7.600;-5.191;-0.1446;7.0E-6;7.600;-5.207;-0.1450;4.9E-6;7.600;-4.274;-0.1190;4.7E-6;7.600;-3.467;-0.0966;1.2E-5;7.600;-5.572;-0.1552;1.1E-6
3.850;-0.664;-0.0185;;7.700;-4.794;-0.1335;1.1E-5;7.700;-5.204;-0.1449;6.9E-6;7.700;-5.267;-0.1467;4.7E-6;7.700;-4.433;-0.1235;4.3E-6;7.700;-3.570;-0.0994;1.1E-5;7.700;-5.638;-0.1570;1.1E-6
3.900;-0.699;-0.0195;2.1E-5;7.800;-4.869;-0.1356;1.0E-5;7.800;-5.206;-0.1450;6.9E-6;7.800;-5.325;-0.1483;4.6E-6;7.800;-4.593;-0.1279;3.9E-6;7.800;-3.677;-0.1024;1.0E-5;7.800;-5.705;-0.1589;1.1E-6
3.950;-0.734;-0.0204;;7.900;-4.957;-0.1381;9.7E-6;7.900;-5.207;-0.1450;6.9E-6;7.900;-5.383;-0.1499;4.5E-6;7.900;-4.760;-0.1326;3.5E-6;7.900;-3.784;-0.1054;9.7E-6;7.900;-5.770;-0.1607;1.0E-6
4.000;-0.768;-0.0214;2.0E-5;8.000;-5.049;-0.1406;9.1E-6;8.000;-5.207;-0.1450;7.0E-6;8.000;-5.448;-0.1517;4.3E-6;8.000;-4.939;-0.1375;3.2E-6;8.000;-3.880;-0.1081;9.2E-6;8.000;-5.831;-0.1624;1.0E-6
4.050;-0.803;-0.0224;;8.100;-5.146;-0.1433;8.5E-6;8.100;-5.207;-0.1450;7.0E-6;8.100;-5.517;-0.1536;4.1E-6;8.100;-5.121;-0.1426;2.8E-6;8.100;-3.952;-0.1101;8.9E-6;8.100;-5.892;-0.1641;9.6E-7
4.100;-0.839;-0.0234;2.0E-5;8.200;-5.257;-0.1464;7.9E-6;8.200;-5.207;-0.1450;7.0E-6;8.200;-5.589;-0.1557;4.0E-6;8.200;-5.286;-0.1472;2.5E-6;8.200;-3.998;-0.1113;8.7E-6;8.200;-5.955;-0.1659;9.6E-7
