"Time (s) Run #2";"Angle (rad) Run #2";"Position (m) Run #2";"Magnetic Field Strength (100X) (T) Run #2"
19,200;-3,572;-0,0995;1,3E-5
19,300;-3,512;-0,0978;1,4E-5
19,400;-3,459;-0,0963;1,4E-5
19,500;-3,402;-0,0948;1,5E-5
19,600;-3,336;-0,0929;1,5E-5
19,700;-3,258;-0,0907;1,6E-5
19,800;-3,165;-0,0882;1,7E-5
19,900;-3,057;-0,0851;1,8E-5
20,000;-2,934;-0,0817;1,9E-5
20,100;-2,793;-0,0778;2,1E-5
20,200;-2,653;-0,0739;2,2E-5
20,300;-2,524;-0,0703;2,3E-5
20,400;-2,403;-0,0669;2,5E-5
20,500;-2,275;-0,0634;2,6E-5
20,600;-2,141;-0,0596;2,8E-5
20,700;-2,022;-0,0563;2,9E-5
20,800;-1,915;-0,0533;3,0E-5
20,900;-1,808;-0,0504;3,1E-5
21,000;-1,692;-0,0471;3,2E-5
21,100;-1,566;-0,0436;3,3E-5
21,200;-1,429;-0,0398;3,4E-5
21,300;-1,288;-0,0359;3,5E-5
21,400;-1,140;-0,0318;3,6E-5
21,500;-0,996;-0,0277;3,6E-5
21,600;-0,847;-0,0236;3,6E-5
21,700;-0,694;-0,0193;3,7E-5
21,800;-0,562;-0,0157;3,7E-5
21,900;-0,467;-0,0130;3,7E-5
22,000;-0,388;-0,0108;3,7E-5
22,100;-0,314;-0,0088;3,7E-5
22,200;-0,231;-0,0064;3,7E-5
22,300;-0,137;-0,0038;3,7E-5
22,400;-0,044;-0,0012;3,7E-5
22,500;0,044;0,0012;3,7E-5
22,600;0,137;0,0038;3,7E-5
22,700;0,239;0,0066;3,7E-5
22,800;0,338;0,0094;3,7E-5
22,900;0,441;0,0123;3,7E-5
23,000;0,559;0,0156;3,7E-5
23,100;0,693;0,0193;3,7E-5
23,200;0,814;0,0227;3,7E-5
23,300;0,927;0,0258;3,6E-5
23,400;1,023;0,0285;3,6E-5
23,500;1,115;0,0311;3,6E-5
23,600;1,206;0,0336;3,5E-5
23,700;1,307;0,0364;3,5E-5
23,800;1,422;0,0396;3,4E-5
23,900;1,525;0,0425;3,3E-5
24,000;1,618;0,0451;3,3E-5
24,100;1,706;0,0475;3,2E-5
24,200;1,800;0,0501;3,1E-5
24,300;1,918;0,0534;3,0E-5
24,400;2,040;0,0568;2,9E-5
24,500;2,160;0,0602;2,7E-5
24,600;2,273;0,0633;2,6E-5
24,700;2,383;0,0664;2,5E-5
24,800;2,468;0,0687;2,4E-5
24,900;2,551;0,0710;2,3E-5
25,000;2,644;0,0736;2,2E-5
25,100;2,738;0,0763;2,1E-5
25,200;2,834;0,0789;2,0E-5
25,300;2,925;0,0815;1,9E-5
25,400;3,011;0,0839;1,8E-5
25,500;3,105;0,0865;1,7E-5
25,600;3,206;0,0893;1,6E-5
25,700;3,300;0,0919;1,6E-5
25,800;3,385;0,0943;1,5E-5
